businessinsider.com,LEFT-CENTER,MOSTLY-FACTUAL
reuters.com,CENTER,VERY-HIGH
newsweek.com,RIGHT-CENTER,MOSTLY-FACTUAL
cnn.com,LEFT,MOSTLY-FACTUAL
theguardian.com,LEFT-CENTER,MIXED
apnews.com,LEFT-CENTER,HIGH
thehill.com,CENTER,MOSTLY-FACTUAL
independent.co.uk,CENTER,HIGH
nbcnews.com,LEFT-CENTER,HIGH
washingtonpost.com,LEFT-CENTER,MOSTLY-FACTUAL
cnbc.com,LEFT-CENTER,MOSTLY-FACTUAL
cbsnews.com,LEFT-CENTER,HIGH
foxnews.com,RIGHT,MIXED
nytimes.com,LEFT-CENTER,HIGH
thedailybeast.com,LEFT,MIXED
bbc.com,LEFT-CENTER,HIGH
salon.com,LEFT,MIXED
pravda.com.ua,LEFT-CENTER,MOSTLY-FACTUAL
nypost.com,RIGHT-CENTER,MIXED
abcnews.go.com,LEFT-CENTER,HIGH
rollingstone.com,LEFT,HIGH
commondreams.org,LEFT,HIGH
lgbtqnation.com,LEFT,MOSTLY-FACTUAL
news.sky.com,CENTER,HIGH
msn.com,LEFT-CENTER,HIGH
breitbart.com,RIGHT,MIXED
politico.com,LEFT-CENTER,HIGH
vice.com,LEFT-CENTER,MOSTLY-FACTUAL
dailymail.co.uk,RIGHT,LOW
axios.com,LEFT-CENTER,HIGH
bloomberg.com,LEFT-CENTER,MOSTLY-FACTUAL
npr.org,LEFT-CENTER,HIGH
news.yahoo.com,LEFT-CENTER,HIGH
jpost.com,RIGHT-CENTER,MOSTLY-FACTUAL
msnbc.com,LEFT,MIXED
vanityfair.com,LEFT,MOSTLY-FACTUAL
dailywire.com,RIGHT,MIXED
yahoo.com,LEFT-CENTER,HIGH
newrepublic.com,LEFT,HIGH
aljazeera.com,LEFT-CENTER,MIXED
cbc.ca,LEFT-CENTER,HIGH
timesofisrael.com,LEFT-CENTER,HIGH
tampafp.com,RIGHT,MIXED
ndtv.com,CENTER,HIGH
abc.net.au,LEFT-CENTER,HIGH
euronews.com,LEFT-CENTER,HIGH
france24.com,CENTER,HIGH
dw.com,CENTER,HIGH
mirror.co.uk,LEFT-CENTER,MIXED
usatoday.com,LEFT-CENTER,MOSTLY-FACTUAL
motherjones.com,LEFT-CENTER,HIGH
themoscowtimes.com,LEFT-CENTER,HIGH
truthout.org,LEFT,MIXED
telegraph.co.uk,CENTER,HIGH
dailycaller.com,RIGHT,MIXED
theblaze.com,RIGHT,MIXED
texastribune.org,LEFT-CENTER,HIGH
townhall.com,RIGHT,MIXED
notthebee.com,RIGHT,HIGH
metro.co.uk,LEFT-CENTER,MIXED
politico.eu,LEFT-CENTER,HIGH
forbes.com,RIGHT-CENTER,MOSTLY-FACTUAL
globalnews.ca,LEFT-CENTER,HIGH
slate.com,LEFT,MOSTLY-FACTUAL
talkingpointsmemo.com,LEFT,MOSTLY-FACTUAL
foxbusiness.com,RIGHT-CENTER,MOSTLY-FACTUAL
english.alarabiya.net,RIGHT-CENTER,MIXED
latimes.com,LEFT-CENTER,HIGH
theatlantic.com,LEFT-CENTER,HIGH
ibtimes.com,LEFT-CENTER,MIXED
ctvnews.ca,CENTER,HIGH
usnews.com,LEFT-CENTER,HIGH
euroweeklynews.com,LEFT-CENTER,MOSTLY-FACTUAL
chron.com,LEFT-CENTER,HIGH
nationalpost.com,RIGHT-CENTER,HIGH
twitchy.com,RIGHT,MIXED
scmp.com,LEFT-CENTER,MIXED
nationalreview.com,RIGHT,MOSTLY-FACTUAL
hotair.com,RIGHT,MOSTLY-FACTUAL
thefederalist.com,RIGHT,MIXED
reason.com,RIGHT-CENTER,HIGH
babylonbee.com,RIGHT,UNKNOWN
hindustantimes.com,LEFT-CENTER,MIXED
insider.com,LEFT-CENTER,MOSTLY-FACTUAL
news.com.au,RIGHT-CENTER,MIXED
esquire.com,LEFT,MIXED
westernjournal.com,FAR-RIGHT,VERY-LOW
deadline.com,LEFT-CENTER,HIGH
pbs.org,LEFT-CENTER,HIGH
abc7.com,CENTER,HIGH
pjmedia.com,RIGHT,MIXED
nymag.com,LEFT,HIGH
fortune.com,RIGHT-CENTER,HIGH
rferl.org,CENTER,MOSTLY-FACTUAL
time.com,LEFT-CENTER,HIGH
wsj.com,RIGHT-CENTER,MOSTLY-FACTUAL
theweek.com,LEFT,HIGH
washingtontimes.com,RIGHT-CENTER,MIXED
vox.com,LEFT,HIGH
marketwatch.com,RIGHT-CENTER,HIGH
theintercept.com,LEFT,MOSTLY-FACTUAL
yle.fi,CENTER,MOSTLY-FACTUAL
theglobeandmail.com,RIGHT-CENTER,HIGH
sfgate.com,LEFT-CENTER,HIGH
english.kyodonews.net,CENTER,HIGH
people.com,LEFT,HIGH
newsmax.com,RIGHT,LOW
express.co.uk,RIGHT,MIXED
timcast.com,RIGHT,MIXED
thenation.com,LEFT,HIGH
theepochtimes.com,RIGHT,MIXED
buzzfeednews.com,LEFT-CENTER,MOSTLY-FACTUAL
arstechnica.com,CENTER,HIGH
kyivindependent.com,LEFT-CENTER,HIGH
aa.com.tr,RIGHT,MIXED
wfla.com,CENTER,HIGH
miamiherald.com,LEFT-CENTER,HIGH
justthenews.com,FAR-RIGHT,MIXED
nzherald.co.nz,CENTER,HIGH
nydailynews.com,LEFT-CENTER,HIGH
abc13.com,LEFT-CENTER,HIGH
rawstory.com,LEFT,HIGH
inews.co.uk,LEFT-CENTER,HIGH
mlive.com,CENTER,HIGH
inquirer.com,LEFT-CENTER,HIGH
swissinfo.ch,LEFT-CENTER,HIGH
thebulwark.com,RIGHT-CENTER,HIGH
business-standard.com,RIGHT-CENTER,MOSTLY-FACTUAL
bostonglobe.com,LEFT-CENTER,HIGH
kansascity.com,LEFT-CENTER,HIGH
smh.com.au,LEFT-CENTER,HIGH
nbcnewyork.com,LEFT-CENTER,HIGH
euractiv.com,LEFT-CENTER,HIGH
newstimes.com,CENTER,HIGH
newsbusters.org,RIGHT,MIXED
denverpost.com,LEFT-CENTER,HIGH
theverge.com,LEFT-CENTER,HIGH
ft.com,CENTER,HIGH
pennlive.com,LEFT-CENTER,HIGH
japantimes.co.jp,CENTER,HIGH
azcentral.com,LEFT-CENTER,HIGH
cnsnews.com,FAR-RIGHT,LOW
middleeasteye.net,LEFT-CENTER,MOSTLY-FACTUAL
fivethirtyeight.com,LEFT-CENTER,HIGH
haaretz.com,LEFT,HIGH
variety.com,LEFT-CENTER,HIGH
indianexpress.com,LEFT-CENTER,MOSTLY-FACTUAL
thestar.com,LEFT-CENTER,HIGH
standard.co.uk,CENTER,HIGH
insideedition.com,LEFT-CENTER,HIGH
sfchronicle.com,LEFT-CENTER,HIGH
fox10phoenix.com,CENTER,HIGH
abovethelaw.com,LEFT-CENTER,HIGH
upi.com,CENTER,HIGH
economist.com,CENTER,HIGH
masslive.com,CENTER,HIGH
taiwannews.com.tw,LEFT-CENTER,MOSTLY-FACTUAL
channelnewsasia.com,CENTER,HIGH
legalinsurrection.com,RIGHT,MOSTLY-FACTUAL
freebeacon.com,RIGHT,MIXED
lemonde.fr,LEFT-CENTER,HIGH
clickorlando.com,CENTER,HIGH
indiatoday.in,RIGHT-CENTER,MIXED
thehindu.com,LEFT-CENTER,MOSTLY-FACTUAL
sltrib.com,LEFT-CENTER,HIGH
ajc.com,LEFT-CENTER,HIGH
amgreatness.com,RIGHT,MIXED
timesofindia.indiatimes.com,RIGHT-CENTER,MIXED
democracynow.org,LEFT,HIGH
orlandosentinel.com,LEFT-CENTER,HIGH
skynews.com.au,RIGHT,MIXED
propublica.org,LEFT-CENTER,HIGH
prospect.org,LEFT,HIGH
wreg.com,CENTER,HIGH
militarytimes.com,CENTER,HIGH
theconversation.com,CENTER,VERY-HIGH
americanmilitarynews.com,RIGHT-CENTER,MOSTLY-FACTUAL
al.com,CENTER,HIGH
wnd.com,FAR-RIGHT,LOW
lrt.lt,CENTER,HIGH
lbc.co.uk,RIGHT-CENTER,MIXED
nbcmiami.com,LEFT-CENTER,HIGH
thedrive.com,CENTER,HIGH
realclearpolitics.com,RIGHT-CENTER,MOSTLY-FACTUAL
nbcchicago.com,LEFT-CENTER,HIGH
tampabay.com,LEFT-CENTER,HIGH
dallasnews.com,RIGHT-CENTER,HIGH
bnonews.com,CENTER,HIGH
itv.com,CENTER,HIGH
newyorker.com,LEFT,HIGH
nbclosangeles.com,LEFT-CENTER,HIGH
financialpost.com,RIGHT-CENTER,MOSTLY-FACTUAL
rnz.co.nz,CENTER,HIGH
theage.com.au,LEFT-CENTER,HIGH
voanews.com,CENTER,HIGH
straitstimes.com,RIGHT-CENTER,MOSTLY-FACTUAL
seattlepi.com,LEFT-CENTER,HIGH
freep.com,LEFT-CENTER,HIGH
thenationaldesk.com,RIGHT-CENTER,HIGH
irishtimes.com,LEFT-CENTER,HIGH
jacobinmag.com,LEFT,HIGH
dailydot.com,LEFT,HIGH
metrotimes.com,LEFT-CENTER,MIXED
uawire.org,LEFT-CENTER,MIXED
cnet.com,CENTER,HIGH
seattletimes.com,LEFT-CENTER,HIGH
middleeastmonitor.com,LEFT,MIXED
ottawacitizen.com,RIGHT-CENTER,HIGH
the-sun.com,RIGHT,MIXED
scientificamerican.com,LEFT-CENTER,HIGH
fox5dc.com,CENTER,HIGH
nbcdfw.com,LEFT-CENTER,HIGH
ynetnews.com,LEFT-CENTER,HIGH
thepostmillennial.com,RIGHT,MIXED
politifact.com,LEFT-CENTER,HIGH
newschannel9.com,RIGHT-CENTER,HIGH
nj.com,CENTER,HIGH
rightwingwatch.org,LEFT,HIGH
bizpacreview.com,RIGHT,MIXED
arabnews.com,RIGHT-CENTER,MIXED
genesiustimes.com,RIGHT,UNKNOWN
dailyrecord.co.uk,LEFT,MOSTLY-FACTUAL
advocate.com,CENTER,HIGH
ktvu.com,CENTER,HIGH
thegrio.com,LEFT,MOSTLY-FACTUAL
espn.com,LEFT-CENTER,HIGH
spectator.org,LEFT,HIGH
currentaffairs.org,LEFT,HIGH
en.mercopress.com,LEFT-CENTER,MIXED
oilprice.com,RIGHT-CENTER,MOSTLY-FACTUAL
fox13news.com,CENTER,HIGH
en.interfax.com.ua,LEFT-CENTER,MIXED
foxla.com,CENTER,HIGH
sbs.com.au,LEFT-CENTER,HIGH
livescience.com,CENTER,HIGH
theroot.com,LEFT,MOSTLY-FACTUAL
pinknews.co.uk,LEFT,HIGH
komonews.com,RIGHT-CENTER,HIGH
kiro7.com,CENTER,HIGH
wsoctv.com,CENTER,HIGH
dispatch.com,CENTER,HIGH
gizmodo.com,LEFT,HIGH
nhk.or.jp,LEFT-CENTER,HIGH
thesun.co.uk,RIGHT,MIXED
mediaite.com,LEFT,MOSTLY-FACTUAL
fox5atlanta.com,CENTER,HIGH
economictimes.indiatimes.com,RIGHT-CENTER,MIXED
rte.ie,CENTER,HIGH
news4jax.com,CENTER,HIGH
rt.com,CENTER,HIGH
firstpost.com,RIGHT-CENTER,MOSTLY-FACTUAL
c-span.org,CENTER,VERY-HIGH
citizensforethics.org,LEFT-CENTER,MOSTLY-FACTUAL
newshub.co.nz,LEFT-CENTER,MOSTLY-FACTUAL
news4sanantonio.com,RIGHT-CENTER,HIGH
spokesman.com,CENTER,HIGH
9news.com.au,RIGHT-CENTER,HIGH
news.err.ee,CENTER,HIGH
fee.org,RIGHT-CENTER,MOSTLY-FACTUAL
boston.com,LEFT-CENTER,HIGH
abc15.com,CENTER,HIGH
kwtx.com,CENTER,HIGH
cp24.com,CENTER,HIGH
bangordailynews.com,LEFT-CENTER,HIGH
slaynews.com,FAR-RIGHT,VERY-LOW
stuff.co.nz,LEFT-CENTER,HIGH
spectatorworld.com,RIGHT-CENTER,MOSTLY-FACTUAL
madison.com,CENTER,HIGH
wtop.com,CENTER,HIGH
cbs12.com,RIGHT-CENTER,HIGH
torontosun.com,RIGHT,MOSTLY-FACTUAL
rumble.com,FAR-RIGHT,LOW
abc7ny.com,CENTER,HIGH
jsonline.com,LEFT-CENTER,HIGH
thecollegefix.com,RIGHT,MIXED
citizen-times.com,LEFT-CENTER,HIGH
fox5ny.com,CENTER,HIGH
fox4news.com,CENTER,HIGH
fox19.com,CENTER,HIGH
news18.com,RIGHT-CENTER,MIXED
winknews.com,CENTER,HIGH
qz.com,LEFT-CENTER,HIGH
news5cleveland.com,CENTER,HIGH
peoplesworld.org,FAR-LEFT,MOSTLY-FACTUAL
ny1.com,CENTER,HIGH
mises.org,RIGHT,MIXED
cbs58.com,LEFT-CENTER,HIGH
pewresearch.org,CENTER,VERY-HIGH
today.com,CENTER,HIGH
lifenews.com,LEFT-CENTER,HIGH
mississippitoday.org,LEFT-CENTER,HIGH
texasobserver.org,LEFT,HIGH
wlox.com,CENTER,HIGH
wsvn.com,LEFT-CENTER,HIGH
wbrc.com,CENTER,HIGH
nola.com,LEFT-CENTER,HIGH
news.am,CENTER,HIGH
oregonlive.com,CENTER,HIGH
abc7news.com,LEFT-CENTER,HIGH
techdirt.com,LEFT-CENTER,HIGH
stripes.com,CENTER,HIGH
govexec.com,LEFT-CENTER,HIGH
wrdw.com,CENTER,HIGH
kxan.com,CENTER,HIGH
religionnews.com,LEFT-CENTER,HIGH
frontpagemag.com,FAR-RIGHT,LOW
19fortyfive.com,RIGHT-CENTER,MOSTLY-FACTUAL
thewrap.com,LEFT-CENTER,MIXED
military.com,CENTER,HIGH
defenseone.com,CENTER,HIGH
defensenews.com,CENTER,HIGH
cleveland.com,CENTER,HIGH
thestreet.com,RIGHT-CENTER,HIGH
coloradosun.com,LEFT-CENTER,HIGH
sun-sentinel.com,CENTER,HIGH
i24news.tv,CENTER,MIXED
politicalwire.com,CENTER,HIGH
statesman.com,CENTER,HIGH
space.com,CENTER,MOSTLY-FACTUAL
nbcbayarea.com,LEFT-CENTER,HIGH
foreignpolicy.com,CENTER,HIGH
courier-journal.com,LEFT-CENTER,HIGH
phys.org,CENTER,HIGH
sacurrent.com,LEFT,HIGH
bleepingcomputer.com,CENTER,HIGH
liveaction.org,RIGHT,MIXED
cbs46.com,CENTER,HIGH
sandiegouniontribune.com,CENTER,HIGH
deccanherald.com,LEFT-CENTER,MIXED
indystar.com,CENTER,HIGH
kplctv.com,CENTER,HIGH
focustaiwan.tw,LEFT-CENTER,HIGH
post-gazette.com,RIGHT-CENTER,HIGH
wlbt.com,CENTER,HIGH
rfa.org,LEFT-CENTER,HIGH
ktul.com,RIGHT-CENTER,HIGH
japantoday.com,LEFT-CENTER,HIGH
teenvogue.com,LEFT,MOSTLY-FACTUAL
kstp.com,CENTER,HIGH
thetimes.co.uk,RIGHT-CENTER,HIGH
wset.com,RIGHT-CENTER,HIGH
sciencealert.com,CENTER,HIGH
forward.com,LEFT-CENTER,HIGH
dailysignal.com,RIGHT,MOSTLY-FACTUAL
ocregister.com,RIGHT-CENTER,HIGH
fox35orlando.com,CENTER,HIGH
washingtonmonthly.com,LEFT-CENTER,HIGH
geo.tv,RIGHT-CENTER,MIXED
outkick.com,RIGHT-CENTER,MIXED
wesh.com,CENTER,HIGH
globaltimes.cn,LEFT,MIXED
detroitnews.com,RIGHT-CENTER,HIGH
abc57.com,LEFT-CENTER,HIGH
nationalinterest.org,RIGHT-CENTER,HIGH
dawn.com,LEFT-CENTER,MOSTLY-FACTUAL
irishmirror.ie,LEFT-CENTER,MOSTLY-FACTUAL
engadget.com,LEFT-CENTER,HIGH
tallahassee.com,LEFT-CENTER,HIGH
wired.com,LEFT-CENTER,HIGH
wect.com,CENTER,HIGH
hollywoodreporter.com,LEFT-CENTER,HIGH
fox7austin.com,CENTER,HIGH
louderwithcrowder.com,RIGHT,MIXED
ksat.com,CENTER,HIGH
fox13memphis.com,CENTER,HIGH
pix11.com,CENTER,HIGH
trtworld.com,RIGHT,MIXED
abcnews4.com,RIGHT-CENTER,HIGH
ansa.it,CENTER,HIGH
newschannel10.com,CENTER,HIGH
gbnews.uk,RIGHT,MIXED
gazette.com,CENTER,HIGH
fox2detroit.com,CENTER,HIGH
7news.com.au,RIGHT-CENTER,MIXED
ign.com,FAR-RIGHT,LOW
avoiceformen.com,RIGHT,LOW
adn.com,CENTER,HIGH
bnnbloomberg.ca,LEFT-CENTER,HIGH
euobserver.com,LEFT-CENTER,HIGH
walesonline.co.uk,LEFT-CENTER,HIGH
kentucky.com,LEFT-CENTER,HIGH
rfi.fr,CENTER,MOSTLY-FACTUAL
weartv.com,RIGHT-CENTER,HIGH
dailystar.co.uk,RIGHT-CENTER,MIXED
memri.org,RIGHT,MIXED
kbtx.com,CENTER,HIGH
tnc.news,RIGHT,MIXED
dnyuz.com,RIGHT-CENTER,MIXED
spiegel.de,LEFT-CENTER,HIGH
city-journal.org,RIGHT,MOSTLY-FACTUAL
tmz.com,LEFT-CENTER,MIXED
heraldtribune.com,CENTER,HIGH
lex18.com,CENTER,HIGH
polygon.com,LEFT-CENTER,HIGH
americanthinker.com,FAR-RIGHT,LOW
en-volve.com,FAR-RIGHT,VERY-LOW
nbcboston.com,LEFT-CENTER,HIGH
powerlineblog.com,RIGHT,MIXED
kesq.com,CENTER,HIGH
bangkokpost.com,RIGHT-CENTER,MIXED
newswest9.com,CENTER,HIGH
triblive.com,RIGHT-CENTER,HIGH
futurism.com,CENTER,MOSTLY-FACTUAL
chicago.suntimes.com,LEFT-CENTER,HIGH
fox29.com,CENTER,HIGH
rebelnews.com,RIGHT,MIXED
techcrunch.com,LEFT-CENTER,HIGH
newschannel5.com,CENTER,HIGH
sacbee.com,LEFT-CENTER,HIGH
desmoinesregister.com,CENTER,HIGH
wfmz.com,CENTER,HIGH
dcreport.org,LEFT-CENTER,HIGH
nbc12.com,CENTER,HIGH
humanevents.com,RIGHT,MIXED
tiktok.com,FAR-RIGHT,LOW
inthesetimes.com,LEFT,MOSTLY-FACTUAL
cbs7.com,CENTER,HIGH
newson6.com,CENTER,HIGH
heraldscotland.com,LEFT-CENTER,HIGH
wkrn.com,CENTER,HIGH
thelondoneconomic.com,LEFT,MOSTLY-FACTUAL
abc11.com,LEFT-CENTER,HIGH
wsbtv.com,CENTER,HIGH
star-telegram.com,RIGHT-CENTER,HIGH
cincinnati.com,CENTER,HIGH
erienewsnow.com,CENTER,HIGH
newsobserver.com,LEFT-CENTER,HIGH
atlanticcouncil.org,RIGHT-CENTER,HIGH
newscientist.com,CENTER,VERY-HIGH
lawfareblog.com,CENTER,VERY-HIGH
ktla.com,CENTER,HIGH
nbcphiladelphia.com,LEFT-CENTER,HIGH
floridapolitics.com,CENTER,HIGH
benzinga.com,CENTER,HIGH
patch.com,CENTER,HIGH
medium.com,LEFT-CENTER,MIXED
intellectualtakeout.org,RIGHT,MOSTLY-FACTUAL
ky3.com,CENTER,HIGH
wxyz.com,CENTER,HIGH
bostonherald.com,RIGHT-CENTER,HIGH
wptv.com,CENTER,HIGH
bridgemi.com,LEFT-CENTER,HIGH
courthousenews.com,CENTER,HIGH
news.mongabay.com,LEFT-CENTER,HIGH
abc17news.com,CENTER,HIGH
orlandoweekly.com,LEFT,HIGH
cpr.org,LEFT-CENTER,HIGH
riverfronttimes.com,LEFT,HIGH
wpxi.com,CENTER,HIGH
hrw.org,LEFT-CENTER,HIGH
tass.com,RIGHT-CENTER,MIXED
hawaiinewsnow.com,CENTER,HIGH
fox26houston.com,CENTER,HIGH
spiked-online.com,RIGHT,MIXED
timesunion.com,LEFT-CENTER,HIGH
mcclatchydc.com,LEFT-CENTER,HIGH
tucson.com,LEFT-CENTER,HIGH
news.un.org,LEFT-CENTER,HIGH
wrtv.com,CENTER,HIGH
issuesinsights.com,RIGHT,MIXED
tennessean.com,CENTER,HIGH
taskandpurpose.com,LEFT-CENTER,MOSTLY-FACTUAL
thenational.scot,LEFT-CENTER,HIGH
chicagotribune.com,RIGHT-CENTER,HIGH
nbc15.com,CENTER,HIGH
eutimes.net,RIGHT,LOW
local12.com,RIGHT-CENTER,HIGH
newstatesman.com,LEFT-CENTER,HIGH
8newsnow.com,CENTER,HIGH
investors.com,RIGHT,MIXED
wndu.com,CENTER,HIGH
novinite.com,CENTER,MOSTLY-FACTUAL
aninews.in,RIGHT-CENTER,MIXED
indiatimes.com,RIGHT-CENTER,MIXED
thecountersignal.com,FAR-RIGHT,MIXED
wpr.org,CENTER,HIGH
nknews.org,CENTER,MOSTLY-FACTUAL
amnesty.org,LEFT-CENTER,HIGH
anonymouswire.com,FAR-RIGHT,LOW
19thnews.org,LEFT,HIGH
wcpo.com,CENTER,HIGH
1news.co.nz,LEFT-CENTER,HIGH
kcentv.com,CENTER,HIGH
popularmechanics.com,CENTER,HIGH
mainichi.jp,LEFT-CENTER,HIGH
12news.com,CENTER,HIGH
mercurynews.com,LEFT-CENTER,HIGH
science.org,RIGHT,MIXED
kdvr.com,CENTER,HIGH
kcbd.com,CENTER,HIGH
nature.com,CENTER,VERY-HIGH
kqed.org,LEFT-CENTER,HIGH
startribune.com,LEFT-CENTER,HIGH
fox59.com,CENTER,HIGH
independentsentinel.com,RIGHT,LOW
wjla.com,RIGHT-CENTER,HIGH
ottawa.citynews.ca,CENTER,HIGH
wivb.com,CENTER,HIGH
techspot.com,CENTER,HIGH
thecanary.co,LEFT,MOSTLY-FACTUAL
thenewamerican.com,RIGHT,MIXED
wtrf.com,CENTER,HIGH
kvue.com,CENTER,HIGH
therealnews.com,LEFT,HIGH
brookings.edu,LEFT-CENTER,VERY-HIGH
krdo.com,CENTER,HIGH
miaminewtimes.com,LEFT-CENTER,HIGH
idahocapitalsun.com,LEFT,HIGH
tribuneindia.com,RIGHT-CENTER,MIXED
brennancenter.org,LEFT-CENTER,HIGH
morningconsult.com,CENTER,VERY-HIGH
missouriindependent.com,LEFT,HIGH
oklahoman.com,RIGHT-CENTER,HIGH
azfamily.com,CENTER,HIGH
boston25news.com,CENTER,HIGH
morningstaronline.co.uk,LEFT,MOSTLY-FACTUAL
al-monitor.com,LEFT-CENTER,HIGH
thequint.com,LEFT-CENTER,HIGH
phoenixnewtimes.com,LEFT-CENTER,HIGH
khou.com,CENTER,HIGH
news24.com,CENTER,HIGH
wgme.com,RIGHT-CENTER,HIGH
kens5.com,CENTER,HIGH
wlos.com,RIGHT-CENTER,HIGH
thedenverchannel.com,CENTER,HIGH
kob.com,CENTER,HIGH
wkyt.com,CENTER,HIGH
kltv.com,CENTER,HIGH
irishexaminer.com,LEFT-CENTER,MOSTLY-FACTUAL
balkaninsight.com,LEFT-CENTER,HIGH
mynews4.com,RIGHT-CENTER,HIGH
kron4.com,CENTER,HIGH
guardian.ng,CENTER,MIXED
cato.org,RIGHT-CENTER,HIGH
technologyreview.com,CENTER,VERY-HIGH
