line,name,ridership
1,Bloor-Yonge,155186
1,College,42883
1,Davisville,13973
1,Downsview-Park,8845
1,Dundas,72637
1,Dupont,22327
1,Eglinton,59802
1,Eglinton-West,6569
1,Finch,59364
1,Finch-West,20950
1,Glencairn,16118
1,Highway-407,9042
1,King,40664
1,Lawrence,27847
1,Lawrence-West,22975
1,Museum,14399
1,North-York-Centre,23768
1,Osgoode,27396
1,Pioneer-Village,14789
1,Queen,38827
1,Queens-Park,39543
1,Rosedale,4787
1,Sheppard-West,22694
1,Sheppard-Yonge,61349
1,Spadina,15703
1,St-Andrew,39775
1,St-Clair,33574
1,St-Clair-West,38700
1,St-George,108290
1,St-Patrick,27617
1,Summerhill,16269
1,Union,91601
1,Vaughan-Metro-Centre,21186
1,Wellesley,26152
1,Wilson,25511
1,York-Mills,30088
1,York-University,30112
1,Yorkdale,8900
2,Bathurst,26234
2,Bay,2426
2,Bloor-Yonge,131995
2,Broadview,25057
2,Castle-Frank,12470
2,Chester,9995
2,Christie,15179
2,Coxwell,19148
2,Donlands,11481
2,Dufferin,27837
2,Dundas-West,21509
2,Greenwood,13568
2,High-Park,11802
2,Islington,21331
2,Jane,15349
2,Keele,17108
2,Kennedy,31249
2,Kipling,31220
2,Lansdowne,19541
2,Main-Street,24918
2,Old-Mill,9319
2,Ossington,25828
2,Pape,24708
2,Royal-York,18568
2,Runnymede,15374
2,Sherbourne,28870
2,Spadina,102255
2,St-George,27760
2,Victoria-Park,13611
2,Warden,12635
2,Woodbine,18615
3,Ellesmere,1068
3,Kennedy,19254
3,Lawrence-West,8968
3,McCowan,2331
3,Midland,1293
4,Bayview,8149
4,Bessarion,4269
4,Don-Mills,26093
4,Leslie,5920
4,Sheppard-Yonge,34532